programa_propio,generica_sies,area_sies,nivel_condicion,isced_amplio_cod,isced_amplio,isced_estrecho_cod,isced_estrecho,isced_detallado_cod,isced_detallado,dist_niveles_sies,n_programas_sies_2026
Ingeniería en Mecánica Automotriz,Ingeniería en Mecánica Automotriz,Tecnología,profesional,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0716,"Motor vehicles, ships and aircraft",profesional 100.0%,163.0
Ingeniería en Medio Ambiente,Ingeniería en Medio Ambiente,Tecnología,profesional | profesional_con_grado,05,"Natural sciences, mathematics and statistics",052,Environment,0521,Environmental sciences,profesional 43.6% | profesional_con_grado 56.4%,39.0
Ingeniería en Minas,Ingeniería en Minas,Tecnología,profesional | profesional_con_grado,07,"Engineering, manufacturing and construction",072,Manufacturing and processing,0724,Mining and extraction,profesional 66.7% | profesional_con_grado 33.3%,93.0
Ingeniería en Prevención de Riesgos,Ingeniería en Prevención de Riesgos,Tecnología,profesional | profesional_con_grado,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0712,Environmental protection technology,profesional 90.5% | profesional_con_grado 9.5%,379.0
Ingeniería en Proyectos Estructurales,Ingeniería en Proyectos Estructurales,Tecnología,profesional | profesional_con_grado,07,"Engineering, manufacturing and construction",073,Architecture and construction,0732,Building and civil engineering,profesional 75.0% | profesional_con_grado 25.0%,4.0
Ingeniería en Química,Ingeniería en Química,Tecnología,profesional | profesional_con_grado,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0711,Chemical engineering and processes,profesional 64.7% | profesional_con_grado 35.3%,17.0
Ingeniería en Recursos Humanos,Ingeniería en Recursos Humanos,Administración y Comercio,profesional | profesional_con_grado,04,"Business, administration and law",041,Business and administration,0413,Management and administration,profesional 96.9% | profesional_con_grado 3.1%,130.0
Ingeniería en Recursos Renovables,Ingeniería en Recursos Renovables,Tecnología,profesional_con_grado,05,"Natural sciences, mathematics and statistics",052,Environment,0522,Natural environments and wildlife,profesional_con_grado 100.0%,9.0
Ingeniería en Refrigeración y Climatización,Ingeniería en Refrigeración y Climatización,Tecnología,profesional | profesional_con_grado,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0715,Mechanics and metal trades,profesional 78.6% | profesional_con_grado 21.4%,14.0
Ingeniería en Sonido,Ingeniería en Sonido,Tecnología,profesional | profesional_con_grado,02,Arts and humanities,021,Arts,0211,Audio-visual techniques and media production,profesional 86.7% | profesional_con_grado 13.3%,30.0
Ingeniería en Telecomunicaciones,Ingeniería en Telecomunicaciones,Tecnología,profesional | profesional_con_grado,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0714,Electronics and automation,profesional 97.4% | profesional_con_grado 2.6%,39.0
Ingeniería en Transporte y Tránsito,Ingeniería en Transporte y Tránsito,Tecnología,profesional_con_grado,07,"Engineering, manufacturing and construction",073,Architecture and construction,0731,Architecture and town planning,profesional_con_grado 100.0%,2.0
Kinesiología,Kinesiología,Salud,profesional | profesional_con_grado | licenciatura,09,Health and welfare,091,Health,0915,Therapy and rehabilitation,profesional 6.9% | profesional_con_grado 92.1% | licenciatura 1.0%,101.0
Licenciatura en Letras y Literatura,Licenciatura en Letras y Literatura,Humanidades,profesional_con_grado | licenciatura,02,Arts and humanities,023,Languages,0232,Literature and linguistics,profesional_con_grado 13.6% | licenciatura 86.4%,22.0
Matemática y/o Estadística,Matemática y/o Estadística,Ciencias Básicas,profesional_con_grado | licenciatura,05,"Natural sciences, mathematics and statistics",054,Mathematics and statistics,0541,Mathematics,profesional_con_grado 46.2% | licenciatura 53.8%,13.0
Medicina,Medicina,Salud,profesional_con_grado,09,Health and welfare,091,Health,0912,Medicine,profesional_con_grado 100.0%,48.0
Medicina Veterinaria,Medicina Veterinaria,Agropecuaria,profesional_con_grado,08,"Agriculture, forestry, fisheries and veterinary",084,Veterinary,0841,Veterinary,profesional_con_grado 100.0%,54.0
Museografía,Postítulo en Humanidades,Humanidades,posgrado_postitulo,03,"Social sciences, journalism and information",032,Journalism and information,0322,"Library, information and archival studies",,
"Música, Canto o Danza","Música, Canto o Danza",Arte y Arquitectura,profesional | profesional_con_grado | licenciatura,02,Arts and humanities,021,Arts,0215,Music and performing arts,profesional 26.7% | profesional_con_grado 65.1% | licenciatura 8.1%,86.0
Nutrición y Dietética,Nutrición y Dietética,Salud,profesional | profesional_con_grado | licenciatura,09,Health and welfare,091,Health,0919,Health not elsewhere classified,profesional 8.9% | profesional_con_grado 90.0% | licenciatura 1.1%,90.0
Obstetricia y Puericultura,Obstetricia y Puericultura,Salud,profesional_con_grado,09,Health and welfare,091,Health,0913,Nursing and midwifery,profesional_con_grado 100.0%,41.0
Oceanografía,Otros Profesionales de Ciencias Básicas,Ciencias Básicas,profesional_con_grado,05,"Natural sciences, mathematics and statistics",053,Physical sciences,0532,Earth sciences,,
Odontología,Odontología,Salud,profesional_con_grado,09,Health and welfare,091,Health,0911,Dental studies,profesional_con_grado 100.0%,40.0
Paisajismo,Paisajismo,Arte y Arquitectura,profesional | profesional_con_grado,07,"Engineering, manufacturing and construction",073,Architecture and construction,0731,Architecture and town planning,profesional 50.0% | profesional_con_grado 50.0%,2.0
Pedagogía en Artes y Música,Pedagogía en Artes y Música,Educación,profesional_con_grado,01,Education,011,Education,0114,Teacher training with subject specialisation,profesional_con_grado 100.0%,47.0
Pedagogía en Ciencias,Pedagogía en Ciencias,Educación,profesional_con_grado,01,Education,011,Education,0114,Teacher training with subject specialisation,profesional_con_grado 100.0%,60.0
Pedagogía en Educación Básica,Pedagogía en Educación Básica,Educación,profesional_con_grado,01,Education,011,Education,0113,Teacher training without subject specialisation,profesional_con_grado 100.0%,126.0
Pedagogía en Educación Diferencial,Pedagogía en Educación Diferencial,Educación,profesional | profesional_con_grado,01,Education,011,Education,0114,Teacher training with subject specialisation,profesional 1.7% | profesional_con_grado 98.3%,120.0
Pedagogía en Educación Física,Pedagogía en Educación Física,Educación,profesional_con_grado,01,Education,011,Education,0114,Teacher training with subject specialisation,profesional_con_grado 100.0%,106.0
Pedagogía en Educación de Párvulos,Pedagogía en Educación de Párvulos,Educación,profesional_con_grado,01,Education,011,Education,0112,Training for pre-school teachers,profesional_con_grado 100.0%,130.0
Pedagogía en Filosofía y Religión,Pedagogía en Filosofía y Religión,Educación,profesional | profesional_con_grado,01,Education,011,Education,0114,Teacher training with subject specialisation,profesional 3.2% | profesional_con_grado 96.8%,31.0
"Pedagogía en Historia, Geografía y Ciencias Sociales","Pedagogía en Historia, Geografía y Ciencias Sociales",Educación,profesional_con_grado,01,Education,011,Education,0114,Teacher training with subject specialisation,profesional_con_grado 100.0%,47.0
Pedagogía en Idiomas,Pedagogía en Idiomas,Educación,profesional | profesional_con_grado,01,Education,011,Education,0114,Teacher training with subject specialisation,profesional 2.9% | profesional_con_grado 97.1%,102.0
"Pedagogía en Lenguaje, Comunicación y/o Castellano","Pedagogía en Lenguaje, Comunicación y/o Castellano",Educación,profesional_con_grado,01,Education,011,Education,0114,Teacher training with subject specialisation,profesional_con_grado 100.0%,53.0
Pedagogía en Matemáticas y Computación,Pedagogía en Matemáticas y Computación,Educación,profesional_con_grado,01,Education,011,Education,0114,Teacher training with subject specialisation,profesional_con_grado 100.0%,58.0
