programa_propio,generica_sies,area_sies,nivel_condicion,isced_amplio_cod,isced_amplio,isced_estrecho_cod,isced_estrecho,isced_detallado_cod,isced_detallado,dist_niveles_sies,n_programas_sies_2026
"Técnico en Producción, Desarrollo y Diseño Web","Técnico en Producción, Desarrollo y Diseño Web",Tecnología,tecnico,02,Arts and humanities,021,Arts,0211,Audio-visual techniques and media production,tecnico 100.0%,20.0
Técnico en Química (Análisis e Industrial),Técnico en Química (Análisis e Industrial),Ciencias Básicas,tecnico,05,"Natural sciences, mathematics and statistics",053,Physical sciences,0531,Chemistry,tecnico 100.0%,29.0
Técnico en Radiología y Radioterapia,Técnico en Radiología y Radioterapia,Salud,tecnico,09,Health and welfare,091,Health,0914,Medical diagnostic and treatment technology,tecnico 100.0%,20.0
Técnico en Refrigeración y Climatización,Técnico en Refrigeración y Climatización,Tecnología,tecnico,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0715,Mechanics and metal trades,tecnico 100.0%,49.0
Técnico en Servicio Social,Técnico en Servicio Social,Ciencias Sociales,tecnico,09,Health and welfare,092,Welfare,0923,Social work and counselling,tecnico 100.0%,252.0
Técnico en Sonido,Técnico en Sonido,Tecnología,tecnico,02,Arts and humanities,021,Arts,0211,Audio-visual techniques and media production,tecnico 100.0%,34.0
Técnico en Telecomunicaciones,Técnico en Telecomunicaciones,Tecnología,tecnico,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0714,Electronics and automation,tecnico 100.0%,102.0
Técnico en Terapias Naturales y Naturopatía,Técnico en Terapias Naturales y Naturopatía,Salud,tecnico,09,Health and welfare,091,Health,0917,Traditional and complementary medicine and therapy,tecnico 100.0%,42.0
Técnico en Topografía,Técnico en Topografía,Tecnología,tecnico,07,"Engineering, manufacturing and construction",073,Architecture and construction,0732,Building and civil engineering,tecnico 100.0%,123.0
Técnico en Traducción e Interpretariado,Técnico en Traducción e Interpretariado,Humanidades,tecnico,02,Arts and humanities,023,Languages,0232,Literature and linguistics,tecnico 100.0%,16.0
Técnico en Transporte Marítimo y Puertos,Técnico en Transporte Marítimo y Puertos,Tecnología,tecnico,10,Services,104,Transport services,1041,Transport services,tecnico 100.0%,20.0
Técnico en Turismo y Hotelería,Técnico en Turismo y Hotelería,Administración y Comercio,tecnico,10,Services,101,Personal services,1015,"Travel, tourism and leisure",tecnico 100.0%,262.0
Técnico en Vitivinicultura y/o Enología,Técnico en Vitivinicultura y/o Enología,Agropecuaria,tecnico,08,"Agriculture, forestry, fisheries and veterinary",081,Agriculture,0811,Crop and livestock production,tecnico 100.0%,14.0
Técnico en Óptica,Técnico en Óptica,Salud,tecnico,09,Health and welfare,091,Health,0914,Medical diagnostic and treatment technology,tecnico 100.0%,1.0
